name,team,games_out,note
Ahanor,Atalanta,1,Distrazione adduttori dx; salta 1a; rientro fine agosto
De Ketelaere,Atalanta,2,Distrazione adduttori sx; rientro inizio settembre
Sulemana K.,Atalanta,6,Lesione collaterale mediale ginocchio sx; rientro inizio ottobre
Hien,Atalanta,6,Operato tendine semimembranoso; rientro inizio ottobre
Idrissi R.,Cagliari,8,Recupero da rottura crociato; rientro fine ottobre
Trepy,Cagliari,2,Ricoverato (incidente in piscina); assente 1a; da monitorare
Addai,Como,8,Rottura tendine d'Achille; tentativo rientro ottobre (rischio piu' lungo)
Parisi,Fiorentina,10,Recupero crociato; rientro novembre
Meichtry,Genoa,1,Noie al ginocchio; a rischio 1a; da valutare
Traore Hj.,Genoa,1,Noie fisiche; a rischio 1a; da valutare
Ekhator,Juventus,1,Lesione bicipite femorale dx; da valutare per la 1a
Cataldi,Lazio,1,Rientrato da ernia; a rischio la 1a; da valutare
Isaksen,Lazio,2,Operato pubalgia; riatletizzazione; a rischio 1a
Patric,Lazio,1,Problema fisico; out 1a; da valutare
Gimenez,Milan,1,Distorsione caviglia; out 1a; da valutare 2a
Pessina,Monza,10,Lussazione rotula dx; rientro inizio novembre
Buongiorno,Napoli,14,Operato menisco ginocchio dx; rientro non prima di dicembre
Marianucci,Napoli,8,Lesione alta collaterale mediale ginocchio sx; stop almeno due mesi
Neres,Napoli,2,Recupero caviglia; da valutare da inizio settembre
Nicolussi Caviglia,Parma,2,Lesione media coscia dx; rientro inizio settembre
Cremaschi,Parma,6,Lesione menisco; rientro ottobre
Walukiewicz,Sassuolo,1,Trauma contusivo gamba dx; a rischio 1a
Kone I.,Sassuolo,14,Rottura tibia e perone; operato; rientro dicembre
Pieragnolo,Sassuolo,7,Recupero crociato anteriore; rientro ottobre
Cande,Sassuolo,3,Recupero crociato anteriore; rientro meta' settembre
Boloca,Sassuolo,2,Problema ginocchio; out 1a; rientro da settembre
Zapata D.,Torino,1,Noie fisiche; a rischio la 1a; da valutare
Zanoli,Udinese,7,Recupero crociato anteriore; rientro ottobre
Chakvetadze,Udinese,2,Frattura metatarso; rientro inizio settembre
Sverko,Venezia,8,Operato all'anca; rientro fine ottobre
Adorante,Venezia,9,Operato alla schiena; buona parte andata out; tentativo rientro ottobre
