Id,matched_name,source,prev_club,prev_league,age,minutes_prev,matches_prev,goals_prev,assists_prev,xg_prev,xa_prev,rating_prev,transfer_type,transfer_fee_eur_m,confidence,notes
6397,Goncalo Ramos,footystats,Paris Saint-Germain,Ligue 1,25,1309,30,6,1,8.48,1.85,,permanent,74,high,"Rotation striker at PSG; low minutes/game; AC Milan record fee"
4998,Nahuel Molina,fbref+tm,Atletico Madrid,La Liga,28,1320,26,2,2,,,,permanent,13,high,"Right-back; ~13m fixed + bonuses"
7078,Franco Mastantuono,fbref,Real Madrid,La Liga,18,1037,23,1,0,,,,loan,,high,"La Liga only; season-long loan to Fiorentina"
7436,Kerim Alajbegovic,tm,RB Salzburg,Other,18,,28,9,1,,,,permanent,30,med,"Austrian Bundesliga; minutes unconfirmed; all-comps 13g/4a"
7484,Akor Adams,footystats,Sevilla,La Liga,26,1967,30,10,4,,,,permanent,16,high,"Nigerian striker (not Che Adams); Sevilla top league scorer"
7547,Kevin Carlos,tm,OGC Nice,Ligue 1,25,911,24,0,1,,,,loan,,med,"Only 9 Ligue 1 starts; no league goals; loan w/ option"
2514,John Stones,footystats,Manchester City,Premier League,32,360,8,0,0,,,,permanent,,high,"Injury-limited final City season; free transfer to Inter"
7554,Jose David Romero,tm,Club Atletico Tigre,Liga Argentina,23,,20,5,2,,,,permanent,7,low,"Argentine calendar-year season; league-only ~5g; minutes not found"
7551,Romano Schmid,footystats,Werder Bremen,Bundesliga,26,2993,34,4,8,,,,permanent,8.5,high,"Strong creative season (8 assists)"
6727,Yan Couto,footystats,Borussia Dortmund,Bundesliga,23,995,19,2,3,,,,loan,,high,"Brazilian RB; lost starting spot; loan to Como w/ option"
5641,Trevoh Chalobah,footystats,Chelsea,Premier League,26,2782,34,3,0,,,,permanent,30,high,"Regular starter (31 starts); 3 goals; one red card"
6320,Danilho Doekhi,fbref+tm,Union Berlin,Bundesliga,28,3060,34,5,0,6.64,2.68,6.92,permanent,,high,"Played every league minute; free transfer to Lazio"
7529,Konstantinos Koulierakis,fbref+tm,VfL Wolfsburg,Bundesliga,22,2481,29,4,1,4.57,,6.82,permanent,16.5,high,"Wolfsburg relegated; fee ~16.5m"
7464,Christ Inao Oulai,fbref+tm,Trabzonspor,Super Lig,20,2067,25,2,4,,,7.35,permanent,26,med,"Ivorian DM/CM; source discrepancy on apps/minutes"
7449,Albion Rrahmani,fbref+tm,AC Sparta Prague,Other,25,1869,20,11,3,,,6.95,permanent,7.5,med,"Czech league; Kosovo striker; apps vary by source"
7410,Viery,fbref+tm,Gremio,Brasileirao,21,,3,0,0,,,6.6,permanent,15,med,"Only 3 Brasileirao league apps (tiny sample); youth graduate"
7294,Victor Valdepenas,fbref+tm,Real Madrid Castilla,Other,19,888,,,,,,,permanent,8,med,"Primera Federacion (3rd tier); 2025/26 split not isolated"
4817,Alfonso Pedraza,fbref+tm,Villarreal,La Liga,30,1690,27,1,3,,,6.96,permanent,,high,"Free transfer to Lazio; league tallies vary by source"
7485,Ricardo Mangas,fbref+tm,Sporting CP,Primeira Liga,28,875,15,2,1,1.4,1.5,7.21,loan,1.5,med,"Ricardo (not Domingos) Mangas; loan w/ obligation; xG/xA from snippet"
7550,Florian Grillitsch,fbref+tm,SC Braga,Primeira Liga,31,1129,20,1,1,,,6.91,permanent,,med,"Played at Braga in 2025/26 (not Frosinone); free/perm"
7409,Franz-Ethan Meichtry,fbref+tm,FC Thun,Other,21,1776,35,8,3,,,6.90,permanent,4,med,"Swiss Super League; won Swiss title; CM/RW"
7412,Luis Milla,fbref+tm,Getafe,La Liga,31,3273,37,1,10,,,7.35,permanent,6,high,"10 assists (2nd in La Liga); disambiguated ex-Getafe"
5946,Djibril Sow,footystats,Sevilla,La Liga,29,2198,33,5,4,4.57,5.20,6.82,permanent,4,high,"Swiss international; fee 4-5m"
4260,Harry Winks,footystats,Leicester City,Championship,30,2568,34,1,2,,5.24,6.93,permanent,,high,"Permanent to Cagliari; fee undisclosed"
4387,Andrea Adorante,fbref+tm,Venezia,Serie B,26,2155,33,17,1,16.20,,7.13,,,high,"Already at Venezia (Serie B title); 17g (5 pens); not a new signing"
7535,Kian Fitz-Jim,fbref+tm,Ajax,Eredivisie,23,516,17,1,0,,,6.74,permanent,2.5,high,"Rotation/sub at Ajax; low minutes"
7213,Matija Frigan,fbref+tm,KVC Westerlo,Jupiler Pro League,23,175,3,1,0,,,6.47,permanent,9,med,"Joined Parma Aug 2025 then ACL tear; ~no Serie A minutes; tiny sample"
7311,Alessandro Romano,tm,Spezia,Serie B,20,,19,0,1,,,6.6,loan,,med,"Roma youth on loan at Spezia (Serie B); minutes not found"
6659,Lorenzo Lucchesi,fbref+tm,Monza,Serie B,23,1624,29,1,0,,,6.79,permanent,,med,"Already at Monza on loan (Serie B); made permanent; minutes vary"
4375,Aleksa Terzic,fbref+tm,RB Salzburg,Other,26,1000,21,0,1,,,6.86,permanent,2.5,med,"Serbian LB; Austrian Bundesliga; apps vary"
7469,Gabriele Bracaglia,fbref+tm,Frosinone,Serie B,23,2438,32,5,1,,,,,,high,"Already at Frosinone (Serie B); promoted, not a transfer; 5 goals as defender"
7532,Raphael Kofler,tm,FC Sudtirol,Serie B,21,2416,28,3,0,,,,loan,3,high,"Sudtirol (Serie B) to Cagliari; loan w/ obligation"
7473,Matteo Cichella,fbref+tm,Frosinone,Serie B,20,2246,23,2,4,,,6.85,,,med,"Already at Frosinone (Serie B); promoted, not a transfer; DM"
7472,Giacomo Calo,fbref+tm,Frosinone,Serie B,29,3183,37,10,15,6.8,7.0,7.92,permanent,0.3,high,"Led Serie B in assists; Frosinone promoted; bought from Cesena"
5029,Willem Geubbels,fbref+tm,Paris FC,Ligue 1,24,1012,24,5,0,3.2,,6.48,permanent,5,high,"2025/26 in Ligue 1 at Paris FC (not St Gallen)"
7414,Kaiki,tm,Cruzeiro,Brasileirao,23,,34,1,3,,,7.13,loan,14,med,"Kaiki Bruno da Silva; Brazilian calendar year; loan w/ obligation; minutes unconfirmed"
6783,Unai Gomez,tm+fbref,Athletic Bilbao,La Liga,23,932,26,1,1,,,6.26,permanent,,high,"La Liga only; undisclosed fee; buy-back retained by Athletic"
4845,Thierry Correia,tm,Valencia,La Liga,27,1392,24,0,2,,,,permanent,,high,"Free agent from Valencia; RB"
7528,Mikel Amondarain,fbref+tm,Estudiantes,Liga Argentina,21,1133,16,2,1,2.3,,6.79,permanent,9.2,med,"Argentine DM (not Jon Amondarain); calendar-year season"
7536,Ousmane Diallo,tm,Borussia Dortmund II,Other,19,719,33,0,1,,,,permanent,1.5,low,"Regionalliga (4th tier); mostly sub; volume stats approximate"
4485,Ngagne Demba Thiam,fotmob+tm,Monza,Serie B,28,3420,38,,,,,7.32,permanent,,high,"GK; 16 clean sheets in Serie B; already at Monza (promoted)"
7474,Ilias Koutsoupias,fotmob,Frosinone,Serie B,25,2578,34,8,4,,,7.14,permanent,,high,"Already at Frosinone (Serie B); 8 goals from midfield"
2115,Filippo Delli Carri,fotmob+tm,Monza,Serie B,27,2002,32,2,1,,,7.00,permanent,0.7,high,"Already at Monza (Serie B); CB"
