team,name,status,pen_rank,setpiece
Atalanta,Carnesecchi,titolare,0,0
Atalanta,Bellanova,titolare,0,0
Atalanta,Kristensen,titolare,0,0
Atalanta,Scalvini,titolare,0,0
Atalanta,Bernasconi,titolare,0,0
Atalanta,Samardzic,titolare,3,1
Atalanta,Gaetano,titolare,0,1
Atalanta,Ederson,titolare,0,0
Atalanta,De Ketelaere,titolare,0,1
Atalanta,Scamacca,titolare,1,0
Atalanta,Raspadori,titolare,0,0
Atalanta,Zappacosta,ballottaggio,0,0
Atalanta,Hien,ballottaggio,0,0
Atalanta,Ahanor,ballottaggio,0,0
Atalanta,Pasalic,ballottaggio,0,0
Atalanta,Krstovic,ballottaggio,2,0
Bologna,Skorupski,titolare,0,0
Bologna,Zortea,titolare,0,0
Bologna,Vitik,titolare,0,0
Bologna,Heggem,titolare,0,0
Bologna,Miranda,titolare,0,1
Bologna,Moro,titolare,0,0
Bologna,Ferguson,titolare,0,0
Bologna,Orsolini,titolare,1,1
Bologna,Bernardeschi,titolare,2,1
Bologna,Rowe,titolare,0,0
Bologna,Dovbyk,titolare,3,0
Bologna,Casale,ballottaggio,0,0
Bologna,Amondarain,ballottaggio,0,0
Bologna,Cambiaghi,ballottaggio,0,0
Bologna,Odgaard,ballottaggio,0,0
Bologna,Piccoli,ballottaggio,0,0
Cagliari,Caprile,titolare,0,0
Cagliari,Ze Pedro,titolare,0,0
Cagliari,Mina,titolare,3,0
Cagliari,Rodriguez,titolare,0,0
Cagliari,Obert,titolare,0,0
Cagliari,Adopo,titolare,0,0
Cagliari,Winks,titolare,0,1
Cagliari,Romano,titolare,0,0
Cagliari,Fazzini,titolare,0,1
Cagliari,Kevin Carlos,titolare,1,0
Cagliari,Maldini,titolare,2,1
Cagliari,Zappa,ballottaggio,0,0
Cagliari,Kofler,ballottaggio,0,0
Cagliari,Prati,ballottaggio,0,0
Cagliari,Felici,ballottaggio,0,0
Cagliari,Mendy,ballottaggio,0,0
Como,Butez,titolare,0,0
Como,Couto,titolare,0,0
Como,Chalobah,titolare,0,0
Como,Ramon,titolare,0,0
Como,Kaiki,titolare,0,0
Como,Da Cunha,titolare,1,1
Como,Perrone,titolare,0,0
Como,Diao,titolare,0,0
Como,Paz N.,titolare,3,1
Como,Baturina,titolare,0,1
Como,Douvikas,titolare,2,0
Como,Smolcic,ballottaggio,0,0
Como,Kempf,ballottaggio,0,0
Como,Valle,ballottaggio,0,0
Como,Rodriguez,ballottaggio,0,0
Como,Caqueret,ballottaggio,0,0
Fiorentina,De Gea,titolare,0,0
Fiorentina,Jimenez,titolare,0,0
Fiorentina,Dragusin,titolare,0,0
Fiorentina,Viery,titolare,0,0
Fiorentina,Valdepenas,titolare,0,0
Fiorentina,Ndour,titolare,0,0
Fiorentina,Fagioli,titolare,0,0
Fiorentina,Atta,titolare,0,1
Fiorentina,Mastantuono,titolare,0,1
Fiorentina,Kean,titolare,2,0
Fiorentina,Gudmundsson,titolare,1,1
Fiorentina,Joao Mario,ballottaggio,0,0
