squadra,giocatore,costo
Real Malaspina,Svilar,56
Real Malaspina,Paleari,3
Real Malaspina,Gollini,1
Real Malaspina,Bellanova,7
Real Malaspina,Joao Mario,1
Real Malaspina,Spinazzola,15
Real Malaspina,Miranda J.,9
Real Malaspina,Kelly L.,8
Real Malaspina,Olivera,2
Real Malaspina,Pavlovic,25
Real Malaspina,Lucumì,16
Real Malaspina,N'Dicka,11
Real Malaspina,Troilo,3
Real Malaspina,Akpoguma,1
Real Malaspina,Calò,16
Real Malaspina,Ferguson,8
Real Malaspina,Matic,5
Real Malaspina,Karlstrom,3
Real Malaspina,Rabiot,42
Real Malaspina,Zielinski,23
Real Malaspina,Atta,18
Real Malaspina,Alajbegovic,61
Real Malaspina,Mastantuono,28
Real Malaspina,Moreira,29
Real Malaspina,Isaksen,13
Real Malaspina,N'Dri,3
Real Malaspina,De Ketelaere,40
Real Malaspina,Mota,3
Real Malaspina,Scamacca,35
Real Malaspina,Tourè E.,10
S.U.Sanna Rosalia,Butez,56
S.U.Sanna Rosalia,Tornqvist,1
S.U.Sanna Rosalia,Vigorito,1
S.U.Sanna Rosalia,Chalobah T.,13
S.U.Sanna Rosalia,Jimenez A.,11
S.U.Sanna Rosalia,Celik,7
S.U.Sanna Rosalia,Ahanor,3
S.U.Sanna Rosalia,Haps,3
S.U.Sanna Rosalia,Mitaj,1
S.U.Sanna Rosalia,Ranieri L.,1
S.U.Sanna Rosalia,Koulierakis,9
S.U.Sanna Rosalia,Monterisi,2
S.U.Sanna Rosalia,Buongiorno,1
S.U.Sanna Rosalia,Busio,2
S.U.Sanna Rosalia,Cataldi,1
S.U.Sanna Rosalia,McTominay,89
S.U.Sanna Rosalia,Thorstvedt,9
S.U.Sanna Rosalia,Colpani,3
S.U.Sanna Rosalia,Cissè A.,1
S.U.Sanna Rosalia,Chukwueze,6
S.U.Sanna Rosalia,Felici,1
S.U.Sanna Rosalia,Martinez L.,190
S.U.Sanna Rosalia,Krstovic,52
S.U.Sanna Rosalia,Esposito F.P.,24
S.U.Sanna Rosalia,Geubbels,1
FC Palagonia Mondello,Maignan,70
FC Palagonia Mondello,Torriani,1
FC Palagonia Mondello,Terracciano,1
FC Palagonia Mondello,Couto,18
FC Palagonia Mondello,Zappacosta,17
FC Palagonia Mondello,Valdepenas,19
FC Palagonia Mondello,Bernasconi,5
FC Palagonia Mondello,Kabasele,8
FC Palagonia Mondello,Idzes,5
FC Palagonia Mondello,Bella-Kotchap,3
FC Palagonia Mondello,Tiago Gabriel,3
FC Palagonia Mondello,Doekhi,2
FC Palagonia Mondello,Cacciamani,9
FC Palagonia Mondello,Frendrup,11
FC Palagonia Mondello,Modric,10
FC Palagonia Mondello,Oulai,5
FC Palagonia Mondello,McKennie,45
FC Palagonia Mondello,Frattesi,26
FC Palagonia Mondello,Casadei,23
FC Palagonia Mondello,Oristanio,2
FC Palagonia Mondello,Traorè Hj.,1
FC Palagonia Mondello,Neres,13
FC Palagonia Mondello,Ghedjemis,11
FC Palagonia Mondello,Cancellieri,3
FC Palagonia Mondello,Vitinha O.,14
FC Palagonia Mondello,Noslin,1
FC Palagonia Mondello,Kean,130
FC Palagonia Mondello,Pinamonti,34
FC Palagonia Mondello,Bowie,9
FC Palagonia Mondello,Mutandwa,1
Dallas,Vicario,70
Dallas,Falcone,3
Dallas,Kristensen T.,17
Dallas,Zè Pedro,3
Dallas,Pedersen,2
Dallas,Kouadio,1
Dallas,Kaiki,10
Dallas,Valeri,10
Dallas,Mancini,24
Dallas,Ostigard,19
Dallas,Coco,2
Dallas,Ghilardi,1
Dallas,Molina N.,13
Dallas,Perrone,15
Dallas,Sow,5
Dallas,Barella,45
Dallas,Sucic P.,20
Dallas,Gandelman,1
Dallas,Zaniolo,63
Dallas,Rowe,56
Dallas,Santos A.,46
Dallas,Kvernadze,3
Dallas,Dominguez B.,1
Dallas,Cambiaghi,1
Dallas,Pellegrino M.,50
Dallas,Romero D.,10
Dallas,Lucca,8
Dallas,Elphege,1
AC Borgo Febio,Mandas,36
AC Borgo Febio,Motta,1
AC Borgo Febio,Palmisani,1
AC Borgo Febio,Kalulu,19
AC Borgo Febio,Zappa,13
AC Borgo Febio,Obert,3
AC Borgo Febio,Marin R.,12
AC Borgo Febio,Akanji,10
AC Borgo Febio,Gabbia,6
AC Borgo Febio,Saelemaekers,41
AC Borgo Febio,Ciurria,1
AC Borgo Febio,Keita M.,2
AC Borgo Febio,Grillitsch,1
AC Borgo Febio,Lipani,1
AC Borgo Febio,Samardzic,31
AC Borgo Febio,Pasalic,9
AC Borgo Febio,Jashari,1
AC Borgo Febio,Sohm,1
AC Borgo Febio,De Bruyne,45
AC Borgo Febio,Diao,46
AC Borgo Febio,Kuhn,1
AC Borgo Febio,Zerbin,1
AC Borgo Febio,Dybala,46
AC Borgo Febio,Ekhator,1
AC Borgo Febio,Kolo Muani,171
F.C. BORGO NUOVO,Provedel,31
F.C. BORGO NUOVO,Caprile,15
F.C. BORGO NUOVO,Sherri,1
F.C. BORGO NUOVO,Walukiewicz,7
F.C. BORGO NUOVO,Pavard,5
F.C. BORGO NUOVO,Tavares N.,2
F.C. BORGO NUOVO,Martin,1
F.C. BORGO NUOVO,Comuzzo,5
F.C. BORGO NUOVO,Beukema,3
F.C. BORGO NUOVO,Mina,3
F.C. BORGO NUOVO,Hien,1
F.C. BORGO NUOVO,Casale,1
F.C. BORGO NUOVO,Spence,39
F.C. BORGO NUOVO,Konè M.,15
F.C. BORGO NUOVO,Rovella,8
F.C. BORGO NUOVO,De Roon,2
F.C. BORGO NUOVO,Winks,1
F.C. BORGO NUOVO,Ekkelenkamp,14
F.C. BORGO NUOVO,Adzic,14
F.C. BORGO NUOVO,Paz N.,110
F.C. BORGO NUOVO,Maldini,7
F.C. BORGO NUOVO,Vergara,2
F.C. BORGO NUOVO,Zhegrova,2
F.C. BORGO NUOVO,Raspadori,38
F.C. BORGO NUOVO,Ramos G.,155
ZENit Sampolo,Meret,20
ZENit Sampolo,Okoye,15
ZENit Sampolo,Milinkovic-Savic V.,13
ZENit Sampolo,Rensch,6
ZENit Sampolo,Dodò,2
ZENit Sampolo,De Winter,1
ZENit Sampolo,Vasquez,12
ZENit Sampolo,Mangas,9
ZENit Sampolo,Terzic,1
ZENit Sampolo,Kolasinac,1
ZENit Sampolo,Kempf,3
ZENit Sampolo,Gatti,1
ZENit Sampolo,Ismajli,1
ZENit Sampolo,Calhanoglu,90
ZENit Sampolo,Piotrowski,2
ZENit Sampolo,Stankovic A.,1
ZENit Sampolo,Loftus-Cheek,13
ZENit Sampolo,Bernabè,11
ZENit Sampolo,Koopmeiners,10
ZENit Sampolo,Caqueret,7
ZENit Sampolo,Douglas Luiz,6
ZENit Sampolo,Baturina,15
ZENit Sampolo,Zaccagni,49
ZENit Sampolo,Politano,20
ZENit Sampolo,Soulè,20
ZENit Sampolo,Nkunku,1
ZENit Sampolo,Dovbyk,79
ZENit Sampolo,Malen,56
ZENit Sampolo,Piccoli,9
ZENit Sampolo,Adorante,1
Monte Piddirinu Tzitzato,De Gea,40
Monte Piddirinu Tzitzato,Thiam,4
Monte Piddirinu Tzitzato,Pizzignacco,1
Monte Piddirinu Tzitzato,Christensen O.,1
Monte Piddirinu Tzitzato,Di Lorenzo,30
Monte Piddirinu Tzitzato,Zanoli,3
Monte Piddirinu Tzitzato,Bartesaghi,1
Monte Piddirinu Tzitzato,Kamara H.,1
Monte Piddirinu Tzitzato,Solet,27
Monte Piddirinu Tzitzato,Bremer,26
Monte Piddirinu Tzitzato,Gila,20
Monte Piddirinu Tzitzato,Wesley,55
Monte Piddirinu Tzitzato,Ederson D.S.,36
Monte Piddirinu Tzitzato,Pessina,13
Monte Piddirinu Tzitzato,Cristante,11
Monte Piddirinu Tzitzato,Nicolussi Caviglia,5
Monte Piddirinu Tzitzato,Zambo Anguissa,10
Monte Piddirinu Tzitzato,Mandragora,10
Monte Piddirinu Tzitzato,Bakola,4
Monte Piddirinu Tzitzato,Berisha M.,3
Monte Piddirinu Tzitzato,Pulisic,90
Monte Piddirinu Tzitzato,Laurientè,55
Monte Piddirinu Tzitzato,Simeone,41
Monte Piddirinu Tzitzato,Varela G.,5
Monte Piddirinu Tzitzato,Cutrone,5
Monte Piddirinu Tzitzato,Raimondo,2
Monte Piddirinu Tzitzato,Mendy P.,1
Centro Edilizia Popolare,Carnesecchi,56
Centro Edilizia Popolare,Sportiello,1
Centro Edilizia Popolare,Cambiaso,33
Centro Edilizia Popolare,Delprato,18
Centro Edilizia Popolare,Bertola,4
Centro Edilizia Popolare,Missori,3
Centro Edilizia Popolare,Pedraza,3
Centro Edilizia Popolare,Romagnoli,11
Centro Edilizia Popolare,Hermoso,7
Centro Edilizia Popolare,Provstgaard,3
Centro Edilizia Popolare,Schingtienne,2
Centro Edilizia Popolare,Moreno M.,1
Centro Edilizia Popolare,Dimarco,96
Centro Edilizia Popolare,Locatelli,17
Centro Edilizia Popolare,Pobega,4
Centro Edilizia Popolare,Da Cunha,43
Centro Edilizia Popolare,Ndour,4
Centro Edilizia Popolare,Mkhitaryan,2
Centro Edilizia Popolare,Pellegrini Lo.,1
Centro Edilizia Popolare,Vlasic,41
Centro Edilizia Popolare,Berardi,58
Centro Edilizia Popolare,Adams C.,5
Centro Edilizia Popolare,Davis K.,75
Centro Edilizia Popolare,David,1
Centro Edilizia Popolare,Morata,1
AC ALBERGHERIA,Skorupski,29
AC ALBERGHERIA,Corvi,2
AC ALBERGHERIA,Pessina Mas.,1
AC ALBERGHERIA,Marusic,15
AC ALBERGHERIA,Van Der Brempt,2
AC ALBERGHERIA,Smolcic I.,1
AC ALBERGHERIA,Obrador,13
AC ALBERGHERIA,Gallo,6
AC ALBERGHERIA,Stones,26
AC ALBERGHERIA,Rrahmani,25
AC ALBERGHERIA,Vitik,7
AC ALBERGHERIA,Gaspar K.,4
AC ALBERGHERIA,Valenti,3
AC ALBERGHERIA,Goldaniga,2
AC ALBERGHERIA,Luis Henrique,1
AC ALBERGHERIA,Lobotka,14
AC ALBERGHERIA,Romano,6
AC ALBERGHERIA,Coulibaly L.,6
AC ALBERGHERIA,Thuram K.,24
AC ALBERGHERIA,Taylor K.,19
AC ALBERGHERIA,Bernardeschi,21
AC ALBERGHERIA,Volpato,1
AC ALBERGHERIA,Boga,12
AC ALBERGHERIA,Leao,80
AC ALBERGHERIA,Yeboah J.,21
AC ALBERGHERIA,Douvikas,87
AC ALBERGHERIA,Castro S.,27
AC ALBERGHERIA,Adams A.,26
AC ALBERGHERIA,Bonny,12
AC ALBERGHERIA,Kevin Carlos,4
Atletico Mondello,Martinez Jo.,57
Atletico Mondello,Stankovic F.,8
Atletico Mondello,Montipò,1
Atletico Mondello,Norton-Cuffy,10
Atletico Mondello,Helland,1
Atletico Mondello,Hainaut,1
Atletico Mondello,Heggem,12
Atletico Mondello,Valle,1
Atletico Mondello,Ramon,20
Atletico Mondello,Bisseck,17
Atletico Mondello,Dragusin,16
Atletico Mondello,Comert,3
Atletico Mondello,Siebert,1
Atletico Mondello,Diouf,17
Atletico Mondello,Gaetano,11
Atletico Mondello,Basic,6
Atletico Mondello,Miller L.,1
Atletico Mondello,El Aynaoui,1
Atletico Mondello,Fazzini,5
Atletico Mondello,Pisilli,2
Atletico Mondello,Mora,10
Atletico Mondello,Liberali,1
Atletico Mondello,Odgaard,1
Atletico Mondello,Conceicao,29
Atletico Mondello,Rodriguez Je.,27
Atletico Mondello,Diallo O.,1
Atletico Mondello,Addai,1
Atletico Mondello,Yildiz,96
Atletico Mondello,Hojlund,141
Atletico Mondello,Camarda,1
Topeldaccia FC,Muric,10
Topeldaccia FC,Bijlow,6
Topeldaccia FC,Mascardi,1
Topeldaccia FC,Turati,1
Topeldaccia FC,Zortea,11
Topeldaccia FC,Vojvoda,7
Topeldaccia FC,Birindelli,2
Topeldaccia FC,Carlos Augusto,8
Topeldaccia FC,Viery,7
Topeldaccia FC,Bastoni,25
Topeldaccia FC,Scalvini,20
Topeldaccia FC,Marcandalli,11
Topeldaccia FC,Ellertsson,6
Topeldaccia FC,Fagioli,13
Topeldaccia FC,Fitz-Jim,6
Topeldaccia FC,Adopo,2
Topeldaccia FC,Milla,1
Topeldaccia FC,Gineitis,1
Topeldaccia FC,Gudmundsson A.,25
Topeldaccia FC,Schmid,9
Topeldaccia FC,Baldanzi,9
Topeldaccia FC,Orsolini,81
Topeldaccia FC,Pierotti,3
Topeldaccia FC,Esposito Se.,10
Topeldaccia FC,Dia,7
Topeldaccia FC,Giovane,3
Topeldaccia FC,Thuram,173
Topeldaccia FC,Colombo,24
Topeldaccia FC,Zapata D.,5
Topeldaccia FC,Stulic,1
